CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
20-01-0235-46,20-027,CHIQUIMULA,CHIQUIMULA,COLEGIO MIXTO EN TECNOLOG�A LATINOAMERICANO,3RA. AVENIDA 4-49 ZONA 1,41795225,SILVIA MARILENA BUEZO MARTINEZ,JAQUELINE EDITH SANTIAGO RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0245-46,20-024,CHIQUIMULA,CHIQUIMULA,"LICEO TEC, TECNOL�GICO, EXPERIMENTAL Y CIENT�FICO","CALZADA H�CTOR AUGUSTO ESPA�A BRACAMONTE, LOTE # 25 ZONA 2",58123452,SILVIA MARILENA BUEZO MARTINEZ,ROSA YESSENIA PACHECO DE FRANCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0250-46,20-030,CHIQUIMULA,CHIQUIMULA,CENTRO DE EDUCACI�N EXTRAESCOLAR -CEEX- GRUPO CEIBA,"2DA. AVENIDA Y 5TA. CALLE ESQUINA ZONA 1, LA PILONA BARRIO LA DEMOCRACIA",42415701,VILMA ESPERANZA LOPEZ INTERIANO,DONALDO ENRIQUE SEGURA FRANCO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0251-46,20-030,CHIQUIMULA,CHIQUIMULA,CENTRO DE EDUCACI�N EXTRAESCOLAR -CEEX- COFI�O STAHL,ALDEA EL DURAZNO,55543693,VILMA ESPERANZA LOPEZ INTERIANO,RHOBBIN ALEXANDER ESQUIVEL C�CERES,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0255-46,20-030,CHIQUIMULA,CHIQUIMULA,CENTRO DE EDUCACI�N EXTRAESCOLAR -CEEX- FUNCAFE,6TA AVENIDA Y 4TA. CALLE ZONA 1,31712671,VILMA ESPERANZA LOPEZ INTERIANO,ERIKA JULISA OLIVA DUARTE,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0256-46,20-030,CHIQUIMULA,CHIQUIMULA,PROGRAMA NACIONAL DE EDUCACI�N ALTERNATIVA PRONEA,8VA. AVENIDA 6-60 ZONA 1,40104955,VILMA ESPERANZA LOPEZ INTERIANO,VILMA ESPERANZA L�PEZ INTERIANO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,CHIQUIMULA
20-01-0257-46,20-030,CHIQUIMULA,CHIQUIMULA,CENTRO DE EDUCACI�N EXTRAESCOLAR -CEEX- DEPARTAMENTAL,8VA. AVENIDA 6-60 ZONA 1,56170043,VILMA ESPERANZA LOPEZ INTERIANO,ANGEL OSIEL BORJA PASCUAL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,CHIQUIMULA
20-01-0309-46,20-024,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO BENDICI�N,"4 CALLE A 13-25, ZONA 1",41007884,SILVIA MARILENA BUEZO MARTINEZ,AXEL YOVANY VILLELA MONROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN D�A A LA SEMANA),CHIQUIMULA
20-01-0311-46,20-024,CHIQUIMULA,CHIQUIMULA,COLEGIO EVANG�LICO MIXTO ADONAI,8VA. AVENIDA 4-40 ZONA 1,79424111,SILVIA MARILENA BUEZO MARTINEZ,MERARI JASM�N DE LE�N CARRILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN D�A A LA SEMANA),CHIQUIMULA
20-01-0313-46,20-027,CHIQUIMULA,CHIQUIMULA,COLEGIO MIXTO EN TECNOLOG�A LATINOAMERICANO,3RA. AVENIDA 4-49 ZONA 1,41795225,SILVIA MARILENA BUEZO MARTINEZ,JAQUELINE EDITH SANTIAGO RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN D�A A LA SEMANA),CHIQUIMULA
